Scenario ID,Name,Type,Severity Multiplier,Trigger Phrase(s),Cedi/USD shock (%),Inflation shock (pp),Policy rate shock (bps),GDP shock (pp),Service Revenue (% chg),EBITDA margin (bps chg),ARPU USD (% chg),MoMo Revenue (% chg),Subscribers (% chg),Net debt/EBITDA (x chg),Pillar
S31,Data Protection Act fine - major enforcement,Stress,1.0,"DPC fines MTN GHS 500m for data breach",0,0,0,0,-1,-50,0,-1,-0.5,0.08,Regulatory
S32,Regulatory storm (spectrum + e-levy + tariff cap),Combined,1.0,"Three major regulatory hits simultaneously",0,0,0,0,-15,-400,-6,-30,-5,0.6,Regulatory
S33,Ransomware - core network 10-day outage,Shock,1.0,"Full network outage due to ransomware, 10 days",0,0,0,0,-20,-400,-8,-15,-5,0.5,Technology
S34,MoMo vendor insolvency - forced migration,Shock,1.0,"MoMo platform vendor goes bankrupt, 15‑day migration",0,0,0,0,-5,-200,-3,-25,-8,0.4,Technology
S35,5G auction - MTN underbids, competitor wins,Stress,1.0,"Competitor wins 5G spectrum, MTN lags",0,0,0,0,-1.5,-40,-0.5,-2,-0.5,0.03,Technology
S36,Subsea cable cut - bandwidth crisis,Shock,1.0,"International fibre cut, 50% capacity loss for 3 weeks",0,0,0,0,-3,-100,-2,-1,-0.5,0.06,Technology
S37,AI-driven MoMo fraud surge +500%,Stress,1.0,"AI fraud attacks cause massive MoMo losses",0,0,0,0,-1,-80,0,-8,-2,0.1,Technology
S38,National grid + telecoms cyberattack,Shock,1.0,"State‑sponsored attack on grid and telcos",0,0,0,0,-15,-350,-6,-18,-6,0.7,Technology
S39,Network sharing collapse - Telecel dispute,Stress,1.0,"Telecel ends tower sharing, MTN must build own",0,0,0,0,-1,-60,0,0,-0.5,0.1,Technology
S40,Telecel aggressive bundle reset,Stress,1.0,"Telecel launches low‑price voice+data bundle",0,0,0,0,-3,-80,-8,-2,-1.5,0.05,Competitive
S41,New MVNO entry - tech giant,Shock,1.0,"Amazon or Google launches MVNO in Ghana",0,0,0,0,-6,-150,-8,-5,-3,0.15,Competitive
S42,AT Ghana recapitalisation,Stress,1.0,"AirtelTigo gets new investor, aggressive marketing",0,0,0,0,-2,-50,-2,-1,-1,0.03,Competitive
S43,Price war - all operators cut data 40%,Stress,1.0,"Industry‑wide data price war, 40% cuts",0,0,0,0,-12,-250,-10,-8,-2,0.2,Competitive
S44,Bank-led mobile wallet captures MoMo share,Shock,1.0,"Consortium of banks launches unified wallet",0,0,0,0,-3,-120,-1,-20,-5,0.12,Competitive
S45,OTT substitution accelerates - voice collapse,Stress,1.0,"WhatsApp voice + video kills traditional voice",0,0,0,0,-2,-50,-2,-0.5,-0.2,0.02,Competitive
S46,Starlink Ghana rural expansion,Stress,1.0,"Starlink launches low‑cost rural satellite broadband",0,0,0,0,-1,-30,-0.5,-1,-0.5,0.02,Competitive
S47,ECG load-shedding Stage 6 - 6 months,Stress,1.0,"Daily 8‑hour power cuts, diesel costs quadruple",0,5,0,-1,-3,-150,-1,-3,-1,0.12,Operational
S48,Accra earthquake - 500+ sites, HQ disruption,Shock,1.0,"6.5 earthquake damages 500 towers and HQ",0,0,0,-2,-8,-300,-3,-5,-3,0.35,Operational
S49,Tower equipment supply chain disruption,Stress,1.0,"Huawei sanctions delay tower equipment 6 months",0,0,0,0,-1,-40,0,-1,-0.5,0.04,Operational
S50,CEO + CFO simultaneous departure,Shock,1.0,"Both top executives resign unexpectedly",0,0,0,0,-0.5,-20,0,-1,-0.2,0.02,Operational
S51,Labour dispute - extended strike,Stress,1.0,"Union strikes for 4 weeks over pay",0,0,0,0,-1.5,-80,0,-2,-0.8,0.05,Operational
S52,5G early mover - enterprise revenue surge,Upside,1.0,"MTN launches 5G first, grabs enterprise share",0,0,-50,0.5,4,80,8,15,3,-0.08,Technology
S53,MoMo lending / micro-insurance breakthrough,Upside,1.0,"MoMo lending scales 5x, insurance attach rate 20%",0,0,0,0,2,40,0,35,5,-0.05,Operational
S54,Ghana GDP 8%+ super-cycle,Upside,1.0,"Oil & mining boom, GDP growth >8%",-5,-3,-100,3.5,5,100,10,20,5,-0.1,Macro & FX
S55,Cedi appreciation +40%,Upside,1.0,"Cedi appreciates 40% on structural reforms",-40,-5,-300,2,12,400,40,-3,2,-0.3,Macro & FX
S56,Perfect storm (macro+cyber+regulatory+climate),Combined,1.0,"Worst‑case combined event",35,25,1000,-4,-25,-800,-20,-40,-10,2.5,Tail Risk
S57,Cedi devaluation -15% (mild),Stress,0.5,"Cedi weakens 15% gradually",15,2,100,-0.5,-4,-100,-8,1,-0.8,0.4,Macro & FX
S58,Cedi devaluation -50% (extreme),Stress,1.5,"Cedi loses 50% in 6 months, hyperinflation",50,30,1500,-4,-18,-600,-32,5,-5,2.2,Tail Risk
S59,Inflation 15% (moderate),Stress,0.5,"CPI rises to 15% on food prices",0,10,100,-0.2,-2,-60,2,1,-0.5,0.15,Macro & FX
S60,Inflation 35% (severe),Stress,1.2,"CPI hits 35% after currency crisis",15,30,500,-2,-6,-250,8,4,-2,0.9,Macro & FX
S61,Policy rate cut to 20% (stimulus),Upside,0.7,"BoG cuts rate aggressively to boost economy",-3,-2,-800,1.5,2,30,1,0.5,0.8,-0.05,Macro & FX
S62,Ghana GDP growth 0% (stagnation),Stress,0.6,"No growth, high unemployment",0,2,100,-4.5,-2,-80,-1,-2,-1,0.1,Macro & FX
S63,NCA small fine GHS 100m,Stress,0.3,"Minor compliance fine",0,0,0,0,-0.2,-10,0,0,0,0.01,Regulatory
S64,NCA very large fine GHS 1.2bn,Stress,1.2,"Major anti‑trust fine",0,0,0,0,-3,-250,0,-2,-1,0.35,Regulatory
S65,Tariff cap -15% (mild),Stress,0.4,"Data price cap at 0.65 GHS/GB",0,0,0,0,-3,-70,-1.5,0,0,0.08,Regulatory
S66,Tariff floor removal only,Stress,0.6,"Price floor removed, moderate competition",0,0,0,0,-4,-100,-2,0,0,0.12,Regulatory
S67,5G auction win - MTN leads,Upside,0.6,"MTN wins 5G spectrum cheaply",0,0,0,0,1.5,40,1,3,1,-0.03,Technology
S68,Subsea cable cut - minor 1 week,Stress,0.4,"Single fibre cut, 10% capacity loss",0,0,0,0,-0.5,-20,0,0,0,0.01,Technology
S69,MoMo fraud surge +200%,Stress,0.7,"Fraud losses double, customer trust dips",0,0,0,0,-0.5,-40,0,-5,-1,0.04,Technology
S70,Telecel mild price promotion,Stress,0.3,"10% discount on weekend calls",0,0,0,0,-0.5,-10,-1,-0.5,-0.2,0,Competitive
S71,New MVNO niche (youth),Stress,0.5,"Small MVNO takes 2% of prepaid market",0,0,0,0,-0.8,-20,-1,-0.5,-0.5,0.01,Competitive
S72,ECG load-shedding Stage 3 - 3 months,Stress,0.5,"Daily 4‑hour power cuts",0,2,0,-0.3,-0.8,-40,0,-1,-0.3,0.03,Operational
S73,Localised flood - 50 sites down,Stress,0.4,"Regional flooding affects 50 towers",0,0,0,0,-0.3,-12,0,-0.2,-0.1,0.01,Operational
S74,Labour dispute - 1 week strike,Stress,0.4,"Short strike, minimal impact",0,0,0,0,-0.2,-10,0,0,-0.1,0,Operational
S75,Minor cyber breach - limited data,Stress,0.4,"Small leak of non‑sensitive data",0,0,0,0,-0.1,-5,0,-0.5,-0.2,0,Technology
S76,Shareholder dividend pressure,Stress,0.5,"Activist investors demand higher payout",0,0,0,0,0,-20,0,0,0,0.1,Financial
S77,FX hedging gain (unexpected),Upside,0.5,"Cedi weakens but MTN had hedged",10,0,0,0,0.5,15,0,0,0,-0.1,Financial
S78,Corporate tax hike to 30%,Stress,0.6,"Govt raises corporate tax rate",0,0,0,0,-1,-30,0,0,0,0.05,Regulatory
S79,Mobile termination rate cut,Stress,0.5,"Regulator cuts MTR by 50%",0,0,0,0,-1.5,-40,-1,0,0,0.04,Regulatory
S80,Free MoMo transaction period,Stress,0.4,"Govt mandates 6 months zero fees",0,0,0,0,-0.5,-20,0,-10,-2,0.06,Regulatory
S81,Starlink urban expansion,Stress,0.6,"Starlink offers competitive urban data bundles",0,0,0,0,-2,-50,-3,-1,-1,0.05,Competitive
S82,AI customer service breakthrough,Upside,0.6,"AI reduces call centre costs 30%",0,0,0,0,0.5,60,0,0,0,-0.02,Technology
S83,Diesel tax rebate,Stress,0.4,"Govt removes fuel tax for telcos",0,-1,0,0,0.2,15,0,0,0,-0.01,Operational
S84,Removal of roaming surcharge,Stress,0.5,"ECOWAS free roaming enforced",0,0,0,0,-0.3,-10,-0.2,0,0,0,Regulatory
S85,New data centre investment,Upside,0.5,"MTN builds Tier‑4 data centre",0,0,0,0,0.2,10,0,0,0,0.02,Technology
S86,Green energy subsidy,Upside,0.4,"Govt subsidises solar for cell sites",0,0,0,0,0.1,15,0,0,0,-0.01,Operational
S87,Currency swap agreement (China),Upside,0.6,"Direct GHS/CNY settlement reduces USD exposure",-2,0,0,0.3,0.5,25,0.5,0,0,-0.03,Financial
S88,MTN Group cross‑guarantee,Stress,0.5,"Parent guarantees Ghana debt, improves credit",0,0,-100,0,0,20,0,0,0,-0.1,Financial
S89,NCA quality of service bonus,Upside,0.4,"MTN meets QoS targets, gets fee rebate",0,0,0,0,0.2,10,0,0,0,-0.01,Regulatory
S90,ECG prepaid metering for sites,Upside,0.3,"Better power management reduces diesel use",0,-0.5,0,0,0.1,8,0,0,0,-0.01,Operational
